Destinations,FeedbackScore ,AverageHotelStar ,All_InclusiveHotels ,MostVisitedCity ,Rank,Tourists (Millions)
Hong Kong,9.2,4.1,120,Hong Kong,1,23.7
Singapore,9.1,4.1,150,Singapore,2,21.3
Thailand,9,3.9,160,Bangkok,3,15.8
UK,8.8,4,180,London,4,15.5
Macau,8.7,4.2,80,Macau,5,13.4
Malaysia,8.6,4.1,100,Kuala Lumpur,6,13.3
China,8.4,3.8,120,Shenzhen,7,12.1
USA,8.3,3.9,130,New York City,8,11.6
Turkey,8.2,4.3,125,Antalya,9,10.3
France,8.1,3.9,112,Paris,10,9.8
Italy,7.9,4.1,89,Rome,11,8.7
UAE,7.8,4.4,123,Dubai,12,8
Russia,7.7,3.8,98,Moscow,13,7.9
Czech Republic,7.6,3.8,105,Praque,14,65
Spain,7.5,4,103,Barcelona,15,5.5
